[2025-12-10 23:40:57,444][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe4, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,444][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe5, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,444][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,444][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe5, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,444][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe6, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,444][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,446][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe6, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,446][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe7, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,446][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,446][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe7, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,447][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe8, 2) PIECE (stack, 0xffffffffffffffe9, 1) , (stack, 0xffffffffffffffe8, 1)
[2025-12-10 23:40:57,447][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe8, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,447][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,447][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe8, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,447][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe9, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,447][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,447][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe9, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
